modelseed_rxn,name,ec,enzyme_name,equation_definition,equation_ids,tecrdb_reaction,n_measurements,match_tier,dGpredictor_modelseed_dG_kJ,tecrdb_dG_kJ,diff_kJ,abs_diff_kJ,dGpredictor_modelseed_dG_kcal,tecrdb_dG_kcal,diff_kcal,abs_diff_kcal,dGpredictor_modelseed_err_kJ,tecrdb_dG_sd_kJ,combined_err_kJ,significant,other_GroupContribution_dG_kJ,other_dGPredictor_original_dG_kJ,other_eQuilibrator_dG_kJ,tecrdb_dG_min_kJ,tecrdb_dG_max_kJ,pH_min,pH_max,T_min,T_max,ms_orientation_vs_canonical,reactants_smiles,products_smiles,reaction_smiles,reaction_smiles_complete
rxn00086,glutathione:NADP+ oxidoreductase,1.6.4.2,glutathione reductase (NAD(P)H);glutathione reductase (NADPH),(1) NADP[0] + (2) GSH[0] + (1) H+[0] <=> (1) NADPH[0] + (1) Oxidized glutathione[0],(1) cpd00006[0] + (2) cpd00042[0] + (1) cpd00067[0] <=> (1) cpd00005[0] + (1) cpd00111[0],2 kegg:C00051 + kegg:C00006 = kegg:C00127 + kegg:C00005,13,stereo_exact,101.642,11.878,89.764,89.764,24.293,2.839,21.454,21.454,3.748,6.245,7.284,True,91.922,17.196,15.481,4.91,27.073,6.8,9.3,283.15,313.15,reversed,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 2 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+],1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],True
rxn19841,glutathione-disulfide reductase,1.6.4.2,glutathione reductase (NAD(P)H);glutathione reductase (NADPH),(1) NADP[0] + (2) GSH[0] + (1) H+[0] <=> (1) NADPH[0] + (1) Oxidized glutathione[0],(1) cpd00006[0] + (2) cpd00042[0] + (1) cpd00067[0] <=> (1) cpd00005[0] + (1) cpd00111[0],2 kegg:C00051 + kegg:C00006 = kegg:C00127 + kegg:C00005,13,stereo_exact,101.642,11.878,89.764,89.764,24.293,2.839,21.454,21.454,3.748,6.245,7.284,True,91.922,17.196,15.481,4.91,27.073,6.8,9.3,283.15,313.15,reversed,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 2 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+],1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],True
rxn19842,glutathione-disulfide reductase,1.6.4.2,glutathione reductase (NAD(P)H);glutathione reductase (NADPH),(1) NADP[0] + (2) GSH[0] + (1) H+[0] <=> (1) NADPH[0] + (1) Oxidized glutathione[0],(1) cpd00006[0] + (2) cpd00042[0] + (1) cpd00067[0] <=> (1) cpd00005[0] + (1) cpd00111[0],2 kegg:C00051 + kegg:C00006 = kegg:C00127 + kegg:C00005,13,stereo_exact,101.642,11.878,89.764,89.764,24.293,2.839,21.454,21.454,3.748,6.245,7.284,True,91.922,17.196,15.481,4.91,27.073,6.8,9.3,283.15,313.15,reversed,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 2 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+],1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],True
rxn32133,Glutathione reductase (NADPH),1.6.4.2,glutathione reductase (NAD(P)H);glutathione reductase (NADPH),(1) NADPH[0] + (1) Oxidized glutathione[0] <=> (1) NADP[0] + (2) GSH[0] + (1) H+[0],(1) cpd00005[0] + (1) cpd00111[0] <=> (1) cpd00006[0] + (2) cpd00042[0] + (1) cpd00067[0],2 kegg:C00051 + kegg:C00006 = kegg:C00127 + kegg:C00005,13,stereo_exact,-101.642,-11.878,-89.764,89.764,-24.293,-2.839,-21.454,21.454,3.748,6.245,7.284,True,-91.922,17.196,-15.481,-27.073,-4.91,6.8,9.3,283.15,313.15,same,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 2 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+],NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+],True
rxn00070,glutathione:NAD+ oxidoreductase,1.6.4.2,glutathione reductase (NAD(P)H),(1) NAD[0] + (2) GSH[0] + (1) H+[0] <=> (1) NADH[0] + (1) Oxidized glutathione[0],(1) cpd00003[0] + (2) cpd00042[0] + (1) cpd00067[0] <=> (1) cpd00004[0] + (1) cpd00111[0],2 kegg:C00051 + kegg:C00003 = kegg:C00127 + kegg:C00004,1,stereo_exact,104.916,17.986,86.931,86.931,25.076,4.299,20.777,20.777,3.748,0.0,3.748,True,91.922,19.623,15.481,17.986,17.986,7.0,7.0,313.15,313.15,same,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1; 2 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+],1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+]>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],True
rxn34788,"glutathione-disulfide reductase, chloroplast",1.6.4.2,glutathione reductase (NAD(P)H),(1) NADH[0] + (1) Oxidized glutathione[0] <=> (1) NAD[0] + (2) GSH[0] + (1) H+[0],(1) cpd00004[0] + (1) cpd00111[0] <=> (1) cpd00003[0] + (2) cpd00042[0] + (1) cpd00067[0],2 kegg:C00051 + kegg:C00003 = kegg:C00127 + kegg:C00004,1,stereo_exact,-104.916,-17.986,-86.931,86.931,-25.076,-4.299,-20.777,20.777,3.748,0.0,3.748,True,-91.922,19.623,-15.481,-17.986,-17.986,7.0,7.0,313.15,313.15,reversed,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1; 2 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+],NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+],True
rxn34789,"glutathione-disulfide reductase, mitochondria",1.6.4.2,glutathione reductase (NAD(P)H),(1) NADH[0] + (1) Oxidized glutathione[0] <=> (1) NAD[0] + (2) GSH[0] + (1) H+[0],(1) cpd00004[0] + (1) cpd00111[0] <=> (1) cpd00003[0] + (2) cpd00042[0] + (1) cpd00067[0],2 kegg:C00051 + kegg:C00003 = kegg:C00127 + kegg:C00004,1,stereo_exact,-104.916,-17.986,-86.931,86.931,-25.076,-4.299,-20.777,20.777,3.748,0.0,3.748,True,-91.922,19.623,-15.481,-17.986,-17.986,7.0,7.0,313.15,313.15,reversed,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1; 2 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+],NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+],True
rxn00605,UDP-glucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase,2.4.1.15,",-trehalose-phosphate synthase (UDP-forming)",(1) UDP-glucose[0] + (1) D-glucose-6-phosphate[0] <=> (1) UDP[0] + (1) Trehalose 6-phosphate[0],(1) cpd00026[0] + (1) cpd00079[0] <=> (1) cpd00014[0] + (1) cpd00523[0],kegg:C00029 + kegg:C00092 = kegg:C00015 + kegg:C00689,1,stereo_exact,-56.812,-9.513,-47.299,47.299,-13.578,-2.274,-11.305,11.305,3.85,0.0,3.85,True,-7.113,-16.108,-19.246,-9.513,-9.513,6.1,6.1,310.15,310.15,same,1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1; 1 O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1; 1 O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1.O=P([O-])([O-])OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,True
rxn01713,UDPglucose:sinapate D-glucosyltransferase,2.4.1.120,sinapate 1-glucosyltransferase,(1) UDP-glucose[0] + (1) H+[0] + (1) Sinapate[0] <=> (1) UDP[0] + (1) 1-O-Sinapoyl-beta-D-glucose[0],(1) cpd00026[0] + (1) cpd00067[0] + (1) cpd00373[0] <=> (1) cpd00014[0] + (1) cpd00865[0],kegg:C00029 + kegg:C00482 = kegg:C00015 + kegg:C01175,1,stereo_exact,-39.816,3.934,-43.749,43.749,-9.516,0.94,-10.456,10.456,5.119,0.0,5.119,True,-11.171,6.402,2.678,3.934,3.934,6.0,6.0,303.15,303.15,same,1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1; 1 [H+]; 1 COc1cc(/C=C/C(=O)[O-])cc(OC)c1O,1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1; 1 COc1cc(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.[H+].COc1cc(/C=C/C(=O)[O-])cc(OC)c1O>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1.COc1cc(/C=C/C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O,True
rxn01834,(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing),4.4.1.5,lactoylglutathione lyase,(1) (R)-S-Lactoylglutathione[0] <=> (1) GSH[0] + (1) H+[0] + (1) 2-Oxopropanal[0],(1) cpd02182[0] <=> (1) cpd00042[0] + (1) cpd00067[0] + (1) cpd00428[0],kegg:C03451 = kegg:C00051 + kegg:C00546,1,stereo_exact,-19.821,23.48,-43.302,43.302,-4.737,5.612,-10.349,10.349,5.12,0.0,5.12,True,3.096,23.472,23.472,23.48,23.48,7.0,7.0,303.15,303.15,reversed,1 C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],1 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+]; 1 CC(=O)C=O,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-]>>[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+].CC(=O)C=O,True
rxn33394,GLYOXI-RXN.d,4.4.1.5,lactoylglutathione lyase,(1) (R)-S-Lactoylglutathione[0] <=> (1) GSH[0] + (1) H+[0] + (1) 2-Oxopropanal[0],(1) cpd02182[0] <=> (1) cpd00042[0] + (1) cpd00067[0] + (1) cpd00428[0],kegg:C03451 = kegg:C00051 + kegg:C00546,1,stereo_exact,-19.821,23.48,-43.302,43.302,-4.737,5.612,-10.349,10.349,5.12,0.0,5.12,True,3.096,23.472,23.472,23.48,23.48,7.0,7.0,303.15,303.15,reversed,1 C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],1 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+]; 1 CC(=O)C=O,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-]>>[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+].CC(=O)C=O,True
rxn38131,GLYOXI-RXN.e,4.4.1.5,lactoylglutathione lyase,(1) (R)-S-Lactoylglutathione[0] <=> (1) GSH[0] + (1) H+[0] + (1) 2-Oxopropanal[0],(1) cpd02182[0] <=> (1) cpd00042[0] + (1) cpd00067[0] + (1) cpd00428[0],kegg:C03451 = kegg:C00051 + kegg:C00546,1,stereo_exact,-19.821,23.48,-43.302,43.302,-4.737,5.612,-10.349,10.349,5.12,0.0,5.12,True,3.096,23.472,23.472,23.48,23.48,7.0,7.0,303.15,303.15,reversed,1 C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],1 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+]; 1 CC(=O)C=O,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-]>>[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+].CC(=O)C=O,True
rxn38132,GLYOXI-RXN.n,4.4.1.5,lactoylglutathione lyase,(1) (R)-S-Lactoylglutathione[0] <=> (1) GSH[0] + (1) H+[0] + (1) 2-Oxopropanal[0],(1) cpd02182[0] <=> (1) cpd00042[0] + (1) cpd00067[0] + (1) cpd00428[0],kegg:C03451 = kegg:C00051 + kegg:C00546,1,stereo_exact,-19.821,23.48,-43.302,43.302,-4.737,5.612,-10.349,10.349,5.12,0.0,5.12,True,3.096,23.472,23.472,23.48,23.48,7.0,7.0,303.15,303.15,reversed,1 C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],1 [NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]; 1 [H+]; 1 CC(=O)C=O,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-]>>[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-].[H+].CC(=O)C=O,True
rxn00579,UDP-glucose:D-fructose 2-alpha-D-glucosyltransferase,2.4.1.13,sucrose synthase,(1) UDP-glucose[0] + (1) D-Fructose[0] <=> (1) UDP[0] + (1) Sucrose[0],(1) cpd00026[0] + (1) cpd00082[0] <=> (1) cpd00014[0] + (1) cpd00076[0],kegg:C00029 + kegg:C00095 = kegg:C00015 + kegg:C00089,7,stereo_exact,-46.948,-4.15,-42.797,42.797,-11.221,-0.992,-10.229,10.229,3.712,4.409,5.763,True,-7.113,-2.469,-4.979,-13.917,-0.65,7.0,9.4,298.15,310.15,reversed,1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1; 1 OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,1 O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1; 1 OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1.OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,True
